Neighborhood,1stFlrSF,2ndFlrSF,BedroomAbvGr,KitchenAbvGr,FullBath,HalfBath,Fireplaces,YearBuilt,YrSold,SaleCondition,SalePrice
CollgCr,856,854,3,1,2,1,0,2003,2008,Normal,208500
Veenker,1262,0,3,1,2,0,1,1976,2007,Normal,181500
CollgCr,920,866,3,1,2,1,1,2001,2008,Normal,223500
Crawfor,961,756,3,1,1,0,1,1915,2006,Abnorml,140000
NoRidge,1145,1053,4,1,2,1,1,2000,2008,Normal,250000
Mitchel,796,566,1,1,1,1,0,1993,2009,Normal,143000
Somerst,1694,0,3,1,2,0,1,2004,2007,Normal,307000
NWAmes,1107,983,3,1,2,1,2,1973,2009,Normal,200000
OldTown,1022,752,2,2,2,0,2,1931,2008,Abnorml,129900
BrkSide,1077,0,2,2,1,0,2,1939,2008,Normal,118000
Sawyer,1040,0,3,1,1,0,0,1965,2008,Normal,129500
NridgHt,1182,1142,4,1,3,0,2,2005,2006,Partial,345000
Sawyer,912,0,2,1,1,0,0,1962,2008,Normal,144000
CollgCr,1494,0,3,1,2,0,1,2006,2007,Partial,279500
NAmes,1253,0,2,1,1,1,1,1960,2008,Normal,157000
BrkSide,854,0,2,1,1,0,0,1929,2007,Normal,132000
NAmes,1004,0,2,1,1,0,1,1970,2010,Normal,149000
Sawyer,1296,0,2,2,2,0,0,1967,2006,Normal,90000
SawyerW,1114,0,3,1,1,1,0,2004,2008,Normal,159000
NAmes,1339,0,3,1,1,0,0,1958,2009,Abnorml,139000
NridgHt,1158,1218,4,1,3,1,1,2005,2006,Partial,325300
IDOTRR,1108,0,3,1,1,0,1,1930,2007,Normal,139400
CollgCr,1795,0,3,1,2,0,1,2002,2008,Normal,230000
MeadowV,1060,0,3,1,1,0,1,1976,2007,Normal,129900
Sawyer,1060,0,3,1,1,0,1,1968,2010,Normal,154000
NridgHt,1600,0,3,1,2,0,1,2007,2009,Normal,256300
NAmes,900,0,3,1,1,0,0,1951,2010,Normal,134800
NridgHt,1704,0,3,1,2,0,1,2007,2010,Normal,306000
NAmes,1600,0,2,1,1,0,2,1957,2006,Normal,207500
BrkSide,520,0,1,1,1,0,0,1927,2008,Normal,68500
IDOTRR,649,668,3,1,1,0,0,1920,2008,Normal,40000
Sawyer,1228,0,3,1,1,1,0,1966,2008,Normal,149350
CollgCr,1234,0,3,1,2,0,0,2007,2008,Normal,179900
NAmes,1700,0,4,1,1,1,1,1959,2010,Normal,165500
NridgHt,1561,0,2,1,2,0,1,2005,2007,Normal,277500
NridgHt,1132,1320,4,1,3,1,1,2004,2006,Normal,309000
CollgCr,1097,0,3,1,1,1,0,1994,2009,Normal,145000
NAmes,1297,0,3,1,1,0,1,1954,2009,Normal,153000
NAmes,1057,0,3,1,1,0,0,1953,2010,Abnorml,109000
Edwards,1152,0,2,2,2,0,0,1955,2008,AdjLand,82000
NAmes,1324,0,3,1,2,0,1,1965,2006,Abnorml,160000
Timber,1328,0,2,1,1,1,2,1959,2007,Normal,170000
SawyerW,884,0,2,1,1,0,0,1983,2007,Normal,144000
CollgCr,938,0,3,1,1,0,0,1975,2008,Normal,130250
NAmes,1150,0,3,1,1,0,0,1959,2006,Normal,141000
NridgHt,1752,0,2,1,2,0,1,2005,2010,Normal,319900
Mitchel,1518,631,1,1,1,1,1,2003,2009,Abnorml,239686
Somerst,1656,0,3,1,2,0,0,2006,2007,Normal,249700
OldTown,736,716,2,3,2,0,0,1920,2009,Partial,113000
Sawyer,955,0,3,1,1,0,0,1966,2007,Normal,127000
Gilbert,794,676,3,1,2,0,0,1997,2007,Normal,177000
BrkSide,816,0,3,1,1,0,1,1934,2006,Normal,114500
IDOTRR,816,0,2,1,1,0,0,1963,2010,Normal,110000
Veenker,1842,0,0,1,0,1,1,1981,2006,Normal,385000
NAmes,1360,0,3,1,1,0,1,1955,2007,Normal,130000
NAmes,1425,0,3,1,2,0,1,1964,2008,Normal,180500
Somerst,983,756,3,1,2,1,0,1999,2009,Abnorml,172500
CollgCr,860,860,3,1,2,1,0,2004,2006,Normal,196500
StoneBr,1426,1519,3,1,3,1,1,2006,2006,Partial,438780
CollgCr,780,0,2,1,1,0,0,1972,2008,Normal,124900
SawyerW,1158,0,3,1,1,1,0,2004,2006,Partial,158000
IDOTRR,581,530,3,1,1,0,0,1920,2007,Normal,101000
NridgHt,1370,0,2,1,2,0,1,2006,2007,Normal,202500
OldTown,902,808,3,1,2,0,0,1921,2010,Normal,140000
CollgCr,1057,977,3,1,2,1,0,1997,2009,Normal,219500
NridgHt,1143,1330,4,1,2,1,1,2004,2007,Normal,317000
NAmes,2207,0,3,1,2,0,1,1970,2010,Normal,180000
CollgCr,1479,0,3,1,2,0,0,2003,2007,Normal,226000
OldTown,747,0,2,1,1,0,0,1945,2010,Normal,80000
ClearCr,1304,983,3,1,2,0,1,1953,2006,Normal,225000
NAmes,2223,0,3,1,2,0,2,1973,2007,Normal,244000
Mitchel,845,0,2,1,1,0,0,1982,2007,Normal,129500
Gilbert,885,833,3,1,2,1,1,1998,2009,Normal,185000
NAmes,1086,0,3,1,1,0,0,1954,2010,Normal,144900
OldTown,840,765,3,2,2,0,0,1915,2010,Normal,107400
MeadowV,526,462,2,1,1,0,0,1973,2009,Normal,91000
NAmes,952,0,2,1,1,0,0,1956,2008,Normal,135750
BrkSide,1072,213,2,1,1,0,0,1948,2008,Normal,127000
Sawyer,1768,0,4,2,2,0,0,1968,2010,Normal,136500
OldTown,682,548,2,1,1,1,0,1910,2009,Normal,110000
NAmes,1182,960,4,1,2,1,1,1968,2009,Normal,193500
Mitchel,1337,0,2,1,2,0,0,1998,2006,Normal,153500
Somerst,1563,0,3,1,2,0,1,2007,2008,Normal,245000
NAmes,1065,0,3,1,1,1,0,1960,2007,Normal,126500
Gilbert,804,670,3,1,2,1,1,1995,2009,Normal,168500
NoRidge,1301,1116,4,1,2,1,1,1991,2006,Normal,260000
Gilbert,684,876,3,1,2,1,1,2005,2009,Normal,174000
Somerst,612,612,2,1,2,1,0,2009,2009,Partial,164500
IDOTRR,1013,0,2,1,1,0,0,1915,2009,Abnorml,85000
CollgCr,990,0,3,1,1,0,0,1994,2007,Normal,123600
NAmes,1040,0,2,1,1,0,0,1950,2006,Normal,109900
NAmes,1235,0,2,1,1,0,0,1961,2006,Abnorml,98600
Crawfor,964,0,2,1,1,0,0,1921,2009,Normal,163500
OldTown,1260,1031,4,2,2,0,1,1910,2007,Normal,133900
CollgCr,905,881,3,1,2,1,0,1997,2007,Normal,204750
Gilbert,680,790,3,1,2,1,1,1993,2009,Normal,185000
CollgCr,1588,0,3,1,2,0,0,1999,2006,Normal,214000
Edwards,960,0,3,1,1,0,0,1965,2007,Normal,94750
Edwards,835,0,2,1,1,0,0,1920,2010,Abnorml,83000
NAmes,1225,0,3,1,1,1,0,1959,2010,Normal,128950
NWAmes,1610,0,3,1,2,0,2,1977,2010,Normal,205000
SawyerW,977,755,3,1,2,1,1,1985,2010,Normal,178000
SawyerW,1535,0,4,2,2,0,0,1979,2009,Alloca,118964
CollgCr,1226,0,3,1,2,0,0,2009,2010,Normal,198900
IDOTRR,1226,592,4,1,1,1,2,1931,2007,Normal,169500
Somerst,1053,939,3,1,2,1,1,2003,2008,Normal,250000
OldTown,1047,0,2,1,1,0,0,1885,2007,Normal,100000
OldTown,789,0,2,1,1,0,0,1948,2008,Partial,115000
IDOTRR,997,520,3,1,2,0,0,1919,2007,Normal,115000
NWAmes,1844,0,3,1,2,0,1,1977,2010,Normal,190000
Edwards,1216,639,4,1,2,0,0,1954,2006,Normal,136900
Gilbert,774,656,3,1,2,1,1,2000,2010,Normal,180000
CollgCr,1282,1414,4,1,2,1,1,2007,2007,Partial,383970
Crawfor,2259,0,3,1,2,0,2,1953,2007,Abnorml,217000
Crawfor,1436,884,3,1,2,1,1,1945,2007,Normal,259500
Somerst,729,729,2,1,2,1,1,1999,2007,Normal,176000
Sawyer,1092,0,3,1,1,0,1,1962,2009,Normal,139000
Edwards,1125,0,2,1,1,1,0,2006,2007,Partial,155000
SawyerW,1699,1523,5,1,3,0,2,1990,2010,Normal,320000
CollgCr,728,728,3,1,2,1,1,2005,2006,Partial,163990
ClearCr,988,0,1,1,1,0,2,1969,2006,Normal,180000
IDOTRR,772,351,3,1,1,0,0,1939,2007,Normal,100000
NAmes,1080,0,3,1,1,0,0,1958,2008,Normal,136000
SawyerW,1199,0,2,1,2,0,0,1993,2008,Normal,153900
NWAmes,1586,0,3,1,2,0,1,1979,2009,Normal,181000
IDOTRR,520,0,2,1,1,0,0,1935,2006,Normal,84500
NPkVill,958,0,2,1,2,0,1,1976,2007,Normal,128000
OldTown,840,0,3,1,1,0,1,1930,2007,Normal,87000
NAmes,660,688,3,1,1,1,1,1966,2006,Normal,155000
NAmes,1053,0,3,1,1,1,0,1958,2006,Abnorml,150000
NAmes,1216,941,4,1,2,1,2,1966,2006,Normal,226000
Gilbert,1022,1032,3,1,2,1,1,2000,2009,Normal,244000
NAmes,1327,0,3,1,1,0,0,1959,2007,Normal,150750
Timber,1296,0,2,1,2,0,0,2001,2009,Normal,220000
Sawyer,1721,0,3,1,2,1,1,1968,2006,Normal,180000
NWAmes,1682,0,3,1,2,0,1,1970,2008,Normal,174000
NAmes,1214,0,3,1,2,0,1,1967,2007,Normal,143000
Mitchel,1959,0,5,2,3,0,0,1988,2006,Family,171000
CollgCr,1004,848,3,1,2,1,2,1999,2008,Normal,230000
CollgCr,928,836,3,1,2,1,0,1997,2009,Normal,231500
NAmes,864,0,3,1,1,0,1,1971,2010,Normal,115000
CollgCr,1734,0,3,1,2,0,0,2005,2006,Normal,260000
NAmes,910,475,4,1,2,0,0,1952,2010,Normal,166000
CollgCr,1501,0,3,1,2,0,0,1999,2009,Normal,204000
Sawyer,1728,0,6,2,2,0,0,1963,2006,Abnorml,125000
Edwards,970,739,3,1,2,0,0,2004,2006,Normal,130000
BrkSide,875,0,2,1,1,0,0,1931,2009,Normal,105000
Gilbert,884,1151,3,1,2,1,1,2001,2010,Normal,222500
SawyerW,1080,0,3,1,1,0,0,2004,2008,Normal,141000
BrkSide,896,448,3,1,1,0,0,1936,2006,Normal,115000
CollgCr,969,0,3,1,1,1,0,1975,2007,Normal,122000
NridgHt,1710,0,2,1,2,0,1,2007,2008,Partial,372402
NWAmes,1097,896,4,1,2,1,1,1971,2006,Normal,190000
ClearCr,1252,0,1,1,1,0,1,1960,2008,Normal,235000
OldTown,1200,0,4,1,1,0,0,1923,2006,Family,125000
Edwards,572,524,2,1,1,0,0,1924,2008,Normal,79000
NAmes,1040,0,2,1,1,0,0,1950,2006,Normal,109500
Timber,774,1194,4,1,2,1,1,2009,2010,Partial,269500
Somerst,991,956,3,1,2,1,1,2004,2010,Normal,254900
Gilbert,1392,1070,4,1,2,1,1,2005,2006,Partial,320000
Veenker,1232,0,3,1,2,0,0,1984,2008,Normal,162500
NridgHt,1572,1096,3,1,2,1,2,2003,2008,Normal,412500
NridgHt,1541,0,3,1,2,0,1,2005,2010,Partial,220000
OldTown,882,0,1,1,1,0,0,1956,2007,Normal,103200
OldTown,1149,467,3,1,2,0,0,1926,2007,Normal,152000
Edwards,808,547,4,2,2,0,0,1940,2008,Normal,127500
ClearCr,1867,0,2,1,1,0,3,1955,2009,Normal,190000
NridgHt,1610,551,3,1,1,1,1,2007,2007,Partial,325624
Gilbert,840,880,3,1,2,1,1,2004,2007,Normal,183500
Timber,1707,0,2,1,2,1,1,1981,2006,Normal,228000
OldTown,854,0,2,1,1,1,0,1941,2007,Normal,128500
NAmes,1656,0,3,1,1,0,2,1960,2010,Normal,215000
StoneBr,1064,703,2,1,2,0,1,1987,2006,Normal,239000
NAmes,1362,0,3,1,1,1,1,1961,2008,Normal,163000
Timber,1651,0,3,1,2,0,1,1986,2008,Normal,184000
Edwards,2158,0,4,1,2,0,1,1950,2007,Normal,243000
ClearCr,1164,896,4,1,2,1,1,1988,2007,Normal,211000
Sawyer,1252,668,4,1,2,0,1,1958,2006,Normal,172500
StoneBr,2234,0,1,1,2,0,1,2008,2009,Partial,501837
OldTown,968,0,2,1,1,0,0,1923,2007,Normal,100000
Somerst,769,756,3,1,2,1,1,2000,2007,Normal,177000
Crawfor,901,901,4,1,1,1,1,1920,2006,Normal,200100
Edwards,1340,0,3,1,1,0,1,1957,2007,Normal,120000
OldTown,1362,720,3,1,2,1,0,2003,2008,Normal,200000
BrkSide,936,316,3,1,1,0,0,1908,2006,Normal,127000
OldTown,1518,1518,4,1,2,1,2,1892,2006,Normal,475000
Mitchel,1217,0,3,1,2,0,0,1990,2009,Normal,173000
OldTown,808,704,3,1,2,1,0,1916,2009,Normal,135000
SawyerW,1224,0,2,2,0,2,2,1979,2009,Alloca,153337
StoneBr,1593,0,0,1,1,1,1,2001,2008,Normal,286000
Crawfor,1549,1178,3,1,2,1,2,1932,2007,Normal,315000
NAmes,725,754,4,1,1,1,0,1972,2007,Normal,184000
CollgCr,1431,0,3,1,2,0,0,1999,2009,Normal,192000
Edwards,970,739,3,1,2,0,0,2004,2006,Normal,130000
CollgCr,864,0,3,1,1,0,0,1972,2008,Normal,127000
NPkVill,855,601,3,1,2,1,1,1976,2009,Normal,148500
Somerst,1726,0,3,1,2,0,1,2007,2007,Partial,311872
NAmes,1360,1360,4,1,2,0,1,1918,2006,Abnorml,235000
OldTown,929,929,5,1,1,0,0,1912,2009,Abnorml,104000
NridgHt,1713,0,3,1,2,0,1,2004,2009,Normal,274900
Edwards,1121,0,2,1,2,0,0,2003,2010,Normal,140000
Mitchel,1279,0,3,1,2,0,2,1977,2008,Normal,171500
OldTown,865,445,2,1,2,0,0,1924,2006,Normal,112000
CollgCr,848,0,1,1,1,0,1,2004,2008,Normal,149000
OldTown,720,564,2,1,1,1,0,1947,2009,Normal,110000
Gilbert,1442,0,3,1,2,0,0,1990,2009,Normal,180500
Sawyer,1696,0,3,1,1,1,1,1962,2007,Normal,143900
NAmes,1100,0,3,1,1,0,1,1960,2008,Normal,141000
SawyerW,1180,882,3,1,2,1,1,1988,2007,Normal,277000
NAmes,1092,0,3,1,1,0,0,1964,2008,Normal,145000
Edwards,864,0,2,1,1,0,0,1925,2008,Normal,98000
Edwards,1212,0,3,1,2,0,0,2009,2010,Normal,186000
Somerst,932,920,3,1,2,1,1,2009,2009,Partial,252678
CollgCr,990,0,3,1,1,0,0,1995,2006,Normal,156000
CollgCr,689,703,3,1,1,1,0,1977,2010,Normal,161750
NAmes,1236,0,2,1,1,0,1,1957,2006,Normal,134450
CollgCr,1436,0,3,1,2,0,0,2004,2008,Normal,210000
OldTown,810,518,3,1,1,0,0,1925,2006,Family,107000
Crawfor,1137,817,3,1,1,1,2,1939,2008,Normal,311500
Blmngtn,1248,0,2,1,2,0,0,2005,2006,Partial,167240
CollgCr,1498,0,2,1,2,0,0,2006,2006,Partial,204900
Gilbert,1010,1257,4,1,2,1,1,2002,2009,Normal,200000
NWAmes,811,741,3,1,2,1,1,1975,2006,Normal,179900
NAmes,864,0,2,1,1,0,0,1971,2009,Abnorml,97000
NridgHt,2392,0,3,1,2,0,1,2003,2009,Normal,386250
BrDale,630,672,3,1,2,1,0,1971,2009,Abnorml,112000
NoRidge,1214,1306,4,1,2,1,1,1995,2007,Abnorml,290000
BrDale,483,504,2,1,1,1,0,1970,2008,Normal,106000
Sawyer,912,0,3,1,1,0,1,1967,2010,Normal,125000
Blmngtn,1555,0,2,1,2,0,1,2005,2009,Normal,192500
NAmes,1194,0,3,1,1,0,0,1959,2010,Normal,148000
NoRidge,1490,1304,4,1,2,1,1,1995,2009,Normal,403000
BrDale,483,504,2,1,1,1,1,1972,2006,Normal,94500
CollgCr,894,0,3,1,1,0,0,1976,2010,Normal,128200
Gilbert,860,1100,4,1,2,1,2,2002,2010,Normal,216500
BrDale,483,504,2,1,1,1,0,1971,2008,Normal,89500
CollgCr,1414,0,3,1,2,0,0,2004,2010,Normal,185500
SawyerW,1014,730,3,1,2,1,0,1993,2010,Normal,194500
NridgHt,1694,0,3,1,2,0,0,2007,2007,Partial,318000
Edwards,798,689,3,1,1,1,1,1945,2010,Normal,113000
Somerst,1566,0,3,1,2,0,0,2008,2010,Normal,262500
OldTown,866,0,2,1,1,0,0,1945,2007,Normal,110500
OldTown,889,551,3,1,1,0,0,1900,2006,Normal,79000
SawyerW,626,591,3,1,1,1,1,1980,2009,Normal,120000
SawyerW,1222,888,3,1,2,1,2,1994,2010,Normal,205000
NWAmes,1872,0,3,1,2,0,1,1988,2006,Normal,241500
OldTown,908,1020,4,2,2,0,0,1910,2006,Normal,137000
NAmes,1375,0,2,1,1,0,1,1954,2006,Normal,140000
CollgCr,840,828,3,1,2,1,0,2003,2007,Normal,180000
ClearCr,1444,700,4,1,2,0,2,1958,2007,Normal,277000
BrkSide,1306,0,3,1,1,0,0,1940,2010,Normal,76500
Crawfor,1625,0,2,1,2,0,1,2006,2007,Family,235000
SawyerW,798,842,3,1,2,1,0,2004,2008,Normal,173000
NAmes,1302,0,3,1,2,0,0,1964,2007,Normal,158000
NAmes,1314,0,3,1,1,0,0,1957,2010,Normal,145000
Gilbert,1005,1286,4,1,2,1,1,1999,2006,Normal,230000
Somerst,864,864,3,1,2,1,0,2003,2008,Normal,207500
CollgCr,1604,0,3,1,2,1,1,2006,2009,Abnorml,220000
CollgCr,963,829,3,1,2,1,1,2001,2008,Normal,231500
OldTown,882,0,2,1,1,0,0,1956,2008,Normal,97000
NAmes,1382,0,3,1,1,0,1,1962,2009,Normal,176000
CollgCr,1482,1092,3,1,2,1,1,2007,2007,Partial,276000
Sawyer,1212,0,3,1,1,0,1,1977,2006,Normal,151000
OldTown,926,0,3,1,1,0,0,1929,2010,Normal,130000
OldTown,764,0,2,1,1,0,0,1925,2008,Normal,73000
NWAmes,1422,0,3,1,2,0,1,1981,2008,Normal,175500
Gilbert,802,709,3,1,2,1,1,1997,2006,Normal,185000
SWISU,1052,720,4,1,2,1,1,1939,2008,Normal,179500
IDOTRR,778,0,2,1,1,0,1,1940,2008,Normal,120500
Edwards,1113,0,3,1,1,1,1,1976,2007,Normal,148000
Somerst,1095,844,3,1,2,1,1,2006,2006,Partial,266000
ClearCr,1363,0,2,1,1,0,2,1954,2008,Normal,241500
NoRidge,1164,1106,4,1,2,1,1,1999,2010,Normal,290000
NAmes,1632,0,3,1,2,0,1,1958,2009,Normal,139000
Mitchel,816,0,2,1,1,0,0,1982,2007,Normal,124500
BrkSide,952,596,3,1,2,1,0,1925,2009,Normal,205000
Mitchel,1560,0,3,1,2,0,0,2003,2010,Normal,201000
Gilbert,864,0,2,1,1,0,0,1951,2010,Normal,141000
NridgHt,2121,0,3,1,2,1,1,2006,2007,Partial,415298
ClearCr,1156,866,4,1,2,1,1,1977,2008,Normal,192000
SawyerW,1175,807,3,1,2,1,1,1989,2007,Normal,228500
Somerst,1262,0,2,1,2,0,0,2006,2006,Partial,185000
NridgHt,1314,0,2,1,2,0,1,2007,2009,Normal,207500
Somerst,1468,0,3,1,2,0,1,2008,2009,Partial,244600
SawyerW,1575,0,2,1,2,0,0,1992,2007,Normal,179200
Somerst,625,625,2,1,2,1,0,2006,2007,Partial,164700
NAmes,1085,649,3,1,1,1,1,1962,2006,Normal,159000
NAmes,858,0,3,1,1,0,0,1971,2006,Normal,88000
Sawyer,900,0,3,1,1,0,0,1967,2010,Normal,122000
BrkSide,698,698,3,1,1,0,0,1915,2007,Normal,153575
CollgCr,1079,840,3,1,2,1,1,2006,2006,Partial,233230
SWISU,936,780,6,1,2,0,0,1912,2008,Normal,135900
Edwards,1148,568,3,1,1,1,1,1949,2009,Normal,131000
NWAmes,1468,795,3,1,2,1,1,1977,2006,Normal,235000
NAmes,1644,0,3,1,1,0,2,1953,2009,Normal,167000
Mitchel,1003,0,3,1,1,0,0,1984,2006,Normal,142500
IDOTRR,910,648,4,1,1,1,0,1950,2007,Normal,152000
Somerst,975,975,3,1,2,1,1,1997,2007,Normal,239000
NWAmes,1041,702,3,1,1,2,1,1968,2007,Normal,175000
Crawfor,1152,0,3,1,1,0,1,1950,2009,Family,158500
Crawfor,1336,0,2,1,1,0,2,1953,2006,Normal,157000
CollgCr,1210,1242,4,1,2,1,1,1998,2007,Normal,267000
CollgCr,1541,0,3,1,2,0,1,2001,2006,Normal,205000
CollgCr,894,0,3,1,1,0,0,1972,2006,Abnorml,149900
OldTown,1675,1818,3,1,3,0,1,1880,2008,Normal,295000
CollgCr,2000,0,3,1,2,0,0,2004,2007,Normal,305900
SawyerW,1122,1121,4,1,2,1,1,1990,2007,Normal,225000
IDOTRR,1035,371,3,1,1,0,0,1920,2008,Normal,89500
Edwards,861,0,1,1,1,0,0,1940,2009,Normal,82500
NridgHt,1944,0,3,1,2,0,3,2003,2006,Normal,360000
Gilbert,697,804,3,1,2,1,1,1993,2006,Normal,165600
NAmes,972,0,2,1,1,0,1,1948,2009,Normal,132000
OldTown,793,325,3,1,1,0,1,1939,2006,Normal,119900
Timber,2036,0,3,1,2,0,2,1965,2009,Normal,375000
OldTown,832,809,3,1,1,1,1,1925,2006,Normal,178000
Gilbert,716,716,3,1,2,1,1,2004,2009,Normal,188500
NWAmes,1153,1200,4,1,2,1,1,1980,2009,Normal,260000
Somerst,1088,871,3,1,2,1,1,2006,2007,Normal,270000
NoRidge,1372,1274,4,1,2,1,1,1993,2009,Normal,260000
NWAmes,1472,0,3,1,2,0,2,1980,2009,Normal,187500
NridgHt,1249,1347,4,1,3,1,0,2006,2006,Partial,342643
NridgHt,1136,1332,4,1,2,1,1,2004,2007,Normal,354000
SawyerW,1553,1177,4,1,2,1,1,1986,2007,Normal,301000
OldTown,1163,0,3,1,1,0,0,1955,2006,Normal,126175
NAmes,1898,1080,5,1,2,1,1,1967,2010,Normal,242000
IDOTRR,803,0,2,1,1,0,0,1941,2007,Normal,87000
Veenker,1719,0,1,1,1,1,2,1993,2008,Normal,324000
NAmes,1383,0,3,1,1,1,0,1960,2006,Normal,145250
BrkSide,1445,689,5,1,2,0,0,1916,2009,Normal,214500
IDOTRR,596,596,3,1,1,0,0,1920,2009,Normal,78000
NAmes,1728,0,6,2,2,0,0,1964,2007,Normal,119000
NAmes,1056,0,3,1,1,0,0,1958,2007,Normal,139000
NridgHt,1629,0,3,1,2,0,1,2003,2009,Normal,284000
NridgHt,1358,0,2,1,2,0,1,2004,2008,Normal,207000
Gilbert,943,695,3,1,2,1,2,1998,2008,Normal,192000
Timber,1619,167,3,1,2,0,2,1965,2008,Normal,228950
StoneBr,1922,0,3,1,2,0,1,2005,2007,Normal,377426
CollgCr,1536,0,3,1,2,0,0,2002,2008,Normal,214000
NWAmes,1621,0,3,1,2,0,0,1984,2006,Normal,202500
NAmes,1215,0,3,1,1,0,0,1958,2009,Normal,155000
Timber,993,915,4,1,2,1,0,2002,2010,Normal,202900
SawyerW,841,0,2,1,1,0,0,1950,2009,Normal,82000
NAmes,1040,0,2,2,2,0,0,1949,2006,Normal,87500
NridgHt,1684,0,2,1,2,0,1,2005,2008,Normal,266000
MeadowV,536,576,3,1,1,1,0,1976,2010,Normal,85000
BrkSide,972,605,3,1,1,0,1,1939,2006,Normal,140200
NAmes,958,0,2,1,1,0,0,1960,2007,Normal,151500
NAmes,1478,0,3,1,2,0,2,1960,2009,Normal,157500
NridgHt,764,862,2,1,2,1,0,2003,2008,Normal,154000
NridgHt,1848,880,4,1,2,1,2,2005,2006,Partial,437154
NridgHt,1869,0,2,1,2,0,1,2007,2007,Partial,318061
ClearCr,1453,0,2,1,1,1,1,1986,2006,Abnorml,190000
Edwards,616,495,3,1,1,0,0,1941,2008,Normal,95000
OldTown,720,0,2,1,1,0,0,1928,2010,Normal,105900
SWISU,1192,403,2,1,1,0,2,1940,2006,Normal,140000
CollgCr,1200,0,3,1,2,0,0,1995,2007,Normal,177500
Gilbert,1167,0,3,1,2,0,0,1992,2009,Normal,173000
MeadowV,1142,0,3,1,1,1,1,1976,2007,Normal,134000
ClearCr,1352,0,3,1,1,0,0,1958,2006,Abnorml,130000
NoRidge,1086,838,3,1,2,1,1,1998,2006,Normal,280000
